Planta de Valores Genéricos de Metro Quadrado de Terreno
 ______________________________________________________________________________________________________________________________________
|  Setor | Quadra |  Face  |                 Descrição Logradouro                |     Descrição Bairro    |       Zona      |  Preço  |
|        |        |        |                                                     |                         |      Fiscal     |  Médio  |
|        |        |        |                                                     |                         |                 | Corrente|
|        |        |        |                                                     |                         |                 | do metro|
|        |        |        |                                                     |                         |                 | quadrado|
|        |        |        |                                                     |                         |                 | (m²) de |
|        |        |        |                                                     |                         |                 |Terrenos,|
|        |        |        |                                                     |                         |                 | expresso|
|        |        |        |                                                     |                         |                 |  em UFM |
|========|========|========|=====================================================|=========================|=================|=========|
|     216|     151|       1|ANTONIO HEIL - RODOVIA DEPUTADO                      |ARRAIAL DOS CUNHA        |       1|Azul    |  1,00    	 |
|--------|--------|--------|-----------------------------------------------------|-------------------------|--------|--------|---------|
|     216|     154|       1|ANTONIO HEIL - RODOVIA DEPUTADO                      |ARRAIAL DOS CUNHA        |       1|Azul    |  1,00   |
|--------|--------|--------|-----------------------------------------------------|-------------------------|--------|--------|---------|
|     214|     140|       1|"C" LOT VILAGE JULIANA                               |BALNEARIO SANTA CLARA    |       7|Magenta |  2,50    	 |
|--------|--------|--------|-----------------------------------------------------|-------------------------|--------|--------|---------|
|     214|     135|       2|ADOLPHO DE OLIVEIRA JUNIOR                           |BALNEARIO SANTA CLARA    |       8|Preto   | 3,30    	 |
|--------|--------|--------|-----------------------------------------------------|-------------------------|--------|--------|---------|
|     214|      74|       4|AGUSTINHO LEMOS DE CAMARGO                           |BALNEARIO SANTA CLARA    |       3|Laranja |   1,20    	 ||--------|--------|--------|-----------------------------------------------------|-------------------------|--------|--------|---------|
|     214|     169|       2|AGUSTINHO LEMOS DE CAMARGO                           |BALNEARIO SANTA CLARA    |       3|Laranja |   1,20    	 |
|--------|--------|--------|-----------------------------------------------------|-------------------------|--------|--------|---------|
|     214|     131|       3|ALBATROZ                                             |BALNEARIO SANTA CLARA    |       8|Preto   | 3,30    	 |
|--------|--------|--------|-----------------------------------------------------|-------------------------|--------|--------|---------|
|     214|     131|       2|ALBATROZ                                             |BALNEARIO SANTA CLARA    |       8|Preto   | 3,30    	 |
|--------|--------|--------|-----------------------------------------------------|-------------------------|--------|--------|---------|
|     214|     134|       3|ALBATROZ                                             |BALNEARIO SANTA CLARA    |       8|Preto   | 3,30    	 |
|--------|--------|--------|-----------------------------------------------------|-------------------------|--------|--------|---------|
|     214|      91|       3|ANDRE LUIZ VIDAL SOARES                              |BALNEARIO SANTA CLARA    |       8|Preto   | 3,30    	 |
|--------|--------|--------|-----------------------------------------------------|-------------------------|--------|--------|---------|
|     214|     134|       1|ANTHURIUM                                            |BALNEARIO SANTA CLARA    |       8|Preto   | 3,30    	 |
|--------|--------|--------|-----------------------------------------------------|-------------------------|--------|--------|---------|
|     214|     162|       3|ANTHURIUM                                            |BALNEARIO SANTA CLARA    |       8|Preto   | 3,30    	 |
|--------|--------|--------|-----------------------------------------------------|-------------------------|--------|--------|---------|
|     214|     163|       3|ANTHURIUM                                            |BALNEARIO SANTA CLARA    |       8|Preto   | 3,30    	 |
